id,section,domain,keywords,language,title,speaker,channel,format,durationMinutes,url,platform,viewCount,sourceTier,recommendation,status,collectedOn,notes,videoId,focusArea,publishedAt,subtitleLanguages,subtitleTracks,subtitlesVerified,subtitleVerificationScope,metadataVerifiedVia,metadataVerificationStatus,lastVerifiedAt,lastVerificationAttemptAt,metadataVerificationError,publishedAtVerified,seriesId,seriesTitle,seriesOrder
ST-001,Interview,General AI / People,Robotics / Embodied AI,English,"Andrej Karpathy: Tesla AI, Self-Driving, Optimus, Aliens, and AGI | Lex Fridman Podcast #333",Andrej Karpathy,Lex Fridman,Podcast Interview,209,https://www.youtube.com/watch?v=cdiD-9MMpb0,YouTube,3936987,A | Official / Original Creator / Organizer,Core,Verified,2026-08-10,"Andrej Karpathy — 209-minute podcast interview on Lex Fridman, centered on robotics and embodied AI. Core selection for the Robotics shelf; part of Lex Fridman Podcast, published 2022-10-29 (~3.9M views).",cdiD-9MMpb0,Robotics,2022-10-29,,,false,blocked by YouTube anti-bot verification on this network,YouTube privacy-enhanced embed player metadata,Partial,2026-08-13,2026-08-13,,true,lex-fridman-podcast,Lex Fridman Podcast,20221029
ST-002,Interview,General AI / People,General AI,English,Roman Yampolskiy: Dangers of Superintelligent AI | Lex Fridman Podcast #431,Roman Yampolskiy,Lex Fridman,Podcast Interview,136,https://www.youtube.com/watch?v=NNr6gPelJ3E,YouTube,967734,A | Official / Original Creator / Organizer,Core,Verified,2026-08-10,"Roman Yampolskiy — 136-minute podcast interview on Lex Fridman, centered on general AI. Core selection in the ScholarTube catalog; part of Lex Fridman Podcast, published 2024-06-02 (~968k views).",NNr6gPelJ3E,Other,2024-06-02,,,false,blocked by YouTube anti-bot verification on this network,YouTube privacy-enhanced embed player metadata,Partial,2026-08-13,2026-08-13,,true,lex-fridman-podcast,Lex Fridman Podcast,20240602
ST-003,Interview,General AI / People,General AI,English,Jensen Huang: NVIDIA - The $4 Trillion Company & the AI Revolution | Lex Fridman Podcast #494,Jensen Huang,Lex Fridman,Podcast Interview,146,https://www.youtube.com/watch?v=vif8NQcjVf0,YouTube,1297416,A | Official / Original Creator / Organizer,Core,Verified,2026-08-10,"Jensen Huang — 146-minute podcast interview on Lex Fridman, centered on general AI. Core selection in the ScholarTube catalog; part of Lex Fridman Podcast, published 2026-03-23 (~1.3M views).",vif8NQcjVf0,Other,2026-03-23,,,false,blocked by YouTube anti-bot verification on this network,YouTube privacy-enhanced embed player metadata,Partial,2026-08-13,2026-08-13,,true,lex-fridman-podcast,Lex Fridman Podcast,20260323
ST-004,Interview,General AI / People,General AI,English,Eliezer Yudkowsky: Dangers of AI and the End of Human Civilization | Lex Fridman Podcast #368,Eliezer Yudkowsky,Lex Fridman,Podcast Interview,198,https://www.youtube.com/watch?v=AaTRHFaaPG8,YouTube,2155443,A | Official / Original Creator / Organizer,Core,Verified,2026-08-10,"Eliezer Yudkowsky — 198-minute podcast interview on Lex Fridman, centered on general AI. Core selection in the ScholarTube catalog; part of Lex Fridman Podcast, published 2023-03-30 (~2.2M views).",AaTRHFaaPG8,Other,2023-03-30,,,false,blocked by YouTube anti-bot verification on this network,YouTube privacy-enhanced embed player metadata,Partial,2026-08-13,2026-08-13,,true,lex-fridman-podcast,Lex Fridman Podcast,20230330
ST-005,Interview,General AI / People,General AI,English,Kai-Fu Lee: AI Superpowers - China and Silicon Valley | Lex Fridman Podcast #27,Kai-Fu Lee,Lex Fridman,Podcast Interview,86,https://www.youtube.com/watch?v=cQ48rP_Rs4g,YouTube,242069,A | Official / Original Creator / Organizer,Core,Verified,2026-08-10,"Kai-Fu Lee — 86-minute podcast interview on Lex Fridman, centered on general AI. Core selection in the ScholarTube catalog; part of Lex Fridman Podcast, published 2019-07-15 (~242k views).",cQ48rP_Rs4g,Other,2019-07-15,,,false,blocked by YouTube anti-bot verification on this network,YouTube privacy-enhanced embed player metadata,Partial,2026-08-13,2026-08-13,,true,lex-fridman-podcast,Lex Fridman Podcast,20190715
ST-006,Interview,General AI / People,General AI,English,"Demis Hassabis: Future of AI, Simulating Reality, Physics and Video Games | Lex Fridman Podcast #475",Demis Hassabis,Lex Fridman,Podcast Interview,148,https://www.youtube.com/watch?v=-HzgcbRXUK8,YouTube,1425893,A | Official / Original Creator / Organizer,Core,Verified,2026-08-10,"Demis Hassabis — 148-minute podcast interview on Lex Fridman, centered on general AI. Core selection in the ScholarTube catalog; part of Lex Fridman Podcast, published 2025-07-23 (~1.4M views).",-HzgcbRXUK8,Other,2025-07-23,,,false,blocked by YouTube anti-bot verification on this network,YouTube privacy-enhanced embed player metadata,Partial,2026-08-13,2026-08-13,,true,lex-fridman-podcast,Lex Fridman Podcast,20250723
ST-007,Interview,General AI / People,General AI,English,"Richard Haier: IQ Tests, Human Intelligence, and Group Differences | Lex Fridman Podcast #302",Richard Haier,Lex Fridman,Podcast Interview,164,https://www.youtube.com/watch?v=hppbxV9C63g,YouTube,1894224,A | Official / Original Creator / Organizer,Core,Verified,2026-08-10,"Richard Haier — 164-minute podcast interview on Lex Fridman, centered on general AI. Core selection in the ScholarTube catalog; part of Lex Fridman Podcast, published 2022-07-14 (~1.9M views).",hppbxV9C63g,Other,2022-07-14,,,false,blocked by YouTube anti-bot verification on this network,YouTube privacy-enhanced embed player metadata,Partial,2026-08-13,2026-08-13,,true,lex-fridman-podcast,Lex Fridman Podcast,20220714
ST-008,Interview,AI Frontiers / Industry,AI Frontiers,English,Ilya Sutskever – We're moving from the age of scaling to the age of research,Ilya Sutskever,Dwarkesh Patel,In-depth Interview,96,https://www.youtube.com/watch?v=aR20FWCCjAs,YouTube,1454232,A | Official / Original Creator / Organizer,Core,Verified,2026-08-10,"Ilya Sutskever — 96-minute in-depth interview on Dwarkesh Patel, centered on AI frontiers and industry. Core selection in the ScholarTube catalog; part of Dwarkesh Patel Interviews, published 2025-11-25 (~1.5M views).",aR20FWCCjAs,Other,2025-11-25,,,false,blocked by YouTube anti-bot verification on this network,YouTube privacy-enhanced embed player metadata,Partial,2026-08-13,2026-08-13,,true,dwarkesh-patel-interviews,Dwarkesh Patel Interviews,20251125
ST-009,Interview,AI Frontiers / Industry,AI Frontiers,English,"Andrej Karpathy — “We’re summoning ghosts, not building animals”",Andrej Karpathy,Dwarkesh Patel,In-depth Interview,146,https://www.youtube.com/watch?v=lXUZvyajciY,YouTube,1363315,A | Official / Original Creator / Organizer,Core,Verified,2026-08-10,"Andrej Karpathy — 146-minute in-depth interview on Dwarkesh Patel, centered on AI frontiers and industry. Core selection in the ScholarTube catalog; part of Dwarkesh Patel Interviews, published 2025-10-17 (~1.4M views).",lXUZvyajciY,Other,2025-10-17,,,false,blocked by YouTube anti-bot verification on this network,YouTube privacy-enhanced embed player metadata,Partial,2026-08-13,2026-08-13,,true,dwarkesh-patel-interviews,Dwarkesh Patel Interviews,20251017
ST-010,Interview,AI Frontiers / Industry,AI Frontiers,English,Dario Amodei — “We are near the end of the exponential”,Dario Amodei,Dwarkesh Patel,In-depth Interview,142,https://www.youtube.com/watch?v=n1E9IZfvGMA,YouTube,1187082,A | Official / Original Creator / Organizer,Core,Verified,2026-08-10,"Dario Amodei — 142-minute in-depth interview on Dwarkesh Patel, centered on AI frontiers and industry. Core selection in the ScholarTube catalog; part of Dwarkesh Patel Interviews, published 2026-02-13 (~1.2M views).",n1E9IZfvGMA,Other,2026-02-13,,,false,blocked by YouTube anti-bot verification on this network,YouTube privacy-enhanced embed player metadata,Partial,2026-08-13,2026-08-13,,true,dwarkesh-patel-interviews,Dwarkesh Patel Interviews,20260213
ST-011,Interview,AI Frontiers / Industry,Large Language Models; Reinforcement Learning,English,Richard Sutton – Father of RL thinks LLMs are a dead end,Richard Sutton,Dwarkesh Patel,In-depth Interview,67,https://www.youtube.com/watch?v=21EYKqUsPfg,YouTube,771170,A | Official / Original Creator / Organizer,Core,Verified,2026-08-10,"Richard Sutton — 67-minute in-depth interview on Dwarkesh Patel, centered on AI frontiers and industry. Core selection in the ScholarTube catalog; part of Dwarkesh Patel Interviews, published 2025-09-26 (~771k views).",21EYKqUsPfg,Other,2025-09-26,,,false,blocked by YouTube anti-bot verification on this network,YouTube privacy-enhanced embed player metadata,Partial,2026-08-13,2026-08-13,,true,dwarkesh-patel-interviews,Dwarkesh Patel Interviews,20250926
ST-012,Interview,AI Frontiers / Industry,AI Systems / MLOps,English,Dylan Patel — The single biggest bottleneck to scaling AI compute,Dylan Patel,Dwarkesh Patel,In-depth Interview,151,https://www.youtube.com/watch?v=mDG_Hx3BSUE,YouTube,300962,A | Official / Original Creator / Organizer,Core,Verified,2026-08-10,"Dylan Patel — 151-minute in-depth interview on Dwarkesh Patel, centered on AI frontiers and industry. Core selection in the ScholarTube catalog; part of Dwarkesh Patel Interviews, published 2026-03-13 (~301k views).",mDG_Hx3BSUE,Other,2026-03-13,,,false,blocked by YouTube anti-bot verification on this network,YouTube privacy-enhanced embed player metadata,Partial,2026-08-13,2026-08-13,,true,dwarkesh-patel-interviews,Dwarkesh Patel Interviews,20260313
ST-013,Interview,AI Frontiers / Industry,AI Frontiers,English,Ilya Sutskever (OpenAI Chief Scientist) — Why next-token prediction could surpass human intelligence,Ilya Sutskever (OpenAI Chief Scientist),Dwarkesh Patel,In-depth Interview,48,https://www.youtube.com/watch?v=Yf1o0TQzry8,YouTube,781047,A | Official / Original Creator / Organizer,Core,Verified,2026-08-10,"Ilya Sutskever (OpenAI Chief Scientist) — 48-minute in-depth interview on Dwarkesh Patel, centered on AI frontiers and industry. Core selection in the ScholarTube catalog; part of Dwarkesh Patel Interviews, published 2023-03-27 (~781k views).",Yf1o0TQzry8,Other,2023-03-27,,,false,blocked by YouTube anti-bot verification on this network,YouTube privacy-enhanced embed player metadata,Partial,2026-08-13,2026-08-13,,true,dwarkesh-patel-interviews,Dwarkesh Patel Interviews,20230327
ST-014,Interview,AI Frontiers / Industry,AI Frontiers,English,@Asianometry  & Dylan Patel — How the semiconductor industry actually works,@Asianometry  & Dylan Patel,Dwarkesh Patel,In-depth Interview,131,https://www.youtube.com/watch?v=pE3KKUKXcTM,YouTube,365341,A | Official / Original Creator / Organizer,Core,Verified,2026-08-10,"@Asianometry  & Dylan Patel — 131-minute in-depth interview on Dwarkesh Patel, centered on AI frontiers and industry. Core selection in the ScholarTube catalog; part of Dwarkesh Patel Interviews, published 2024-10-02 (~365k views).",pE3KKUKXcTM,Other,2024-10-02,,,false,blocked by YouTube anti-bot verification on this network,YouTube privacy-enhanced embed player metadata,Partial,2026-08-13,2026-08-13,,true,dwarkesh-patel-interviews,Dwarkesh Patel Interviews,20241002
ST-015,Interview,AI Frontiers / Industry,AI Frontiers,English,Gwern — Anonymous writer who predicted AI trajectory on $12K/year salary,Gwern,Dwarkesh Patel,In-depth Interview,97,https://www.youtube.com/watch?v=a42key59cZQ,YouTube,175883,A | Official / Original Creator / Organizer,Core,Verified,2026-08-10,"Gwern — 97-minute in-depth interview on Dwarkesh Patel, centered on AI frontiers and industry. Core selection in the ScholarTube catalog; part of Dwarkesh Patel Interviews, published 2024-11-13 (~176k views).",a42key59cZQ,Other,2024-11-13,,,false,blocked by YouTube anti-bot verification on this network,YouTube privacy-enhanced embed player metadata,Partial,2026-08-13,2026-08-13,,true,dwarkesh-patel-interviews,Dwarkesh Patel Interviews,20241113
ST-016,Interview,AI Systems / Accelerated Computing,AI Systems / MLOps; AI for Science,English,NVIDIA & Lilly: The AI Revolution in Drug Discovery | Jensen Huang & David Ricks,To be added,NVIDIA,In-depth Interview,59,https://www.youtube.com/watch?v=zbiEYMapsvw,YouTube,41267,A | Official / Original Creator / Organizer,Core,Verified,2026-08-10,"59-minute in-depth interview on NVIDIA, centered on AI systems and accelerated computing. Core selection in the ScholarTube catalog.",zbiEYMapsvw,Other,2026-02-02,,,false,blocked by YouTube anti-bot verification on this network,YouTube privacy-enhanced embed player metadata,Partial,2026-08-13,2026-08-13,,true,,,
ST-017,Interview,AI Systems / Accelerated Computing,AI Systems / MLOps,English,Quantum Computing: Where We Are and Where We’re Headed | NVIDIA GTC 2025 Fireside Chat,Quantum Computing,NVIDIA Developer,Fireside Chat,123,https://www.youtube.com/watch?v=9XB-LsfpvCU,YouTube,240200,A | Official / Original Creator / Organizer,Core,Verified,2026-08-10,"123-minute fireside chat on NVIDIA Developer, centered on AI systems and accelerated computing. Core selection in the ScholarTube catalog (~240k views).",9XB-LsfpvCU,Other,2025-04-09,,,false,blocked by YouTube anti-bot verification on this network,YouTube privacy-enhanced embed player metadata,Partial,2026-08-13,2026-08-13,,true,,,
ST-018,Interview,Robotics / Embodied AI,Robotics / Embodied AI,English,"Season 1 Ep. 5 Andrea Thomaz, Diligent Robotics | The Robot Brains Podcast",To be added,The Robot Brains Podcast,Podcast Interview,70,https://www.youtube.com/watch?v=nUtwOUNoZw0,YouTube,14957,A | Official / Original Creator / Organizer,Core,Verified,2026-08-10,"70-minute podcast interview on The Robot Brains Podcast, centered on robotics and embodied AI. Core selection for the Robotics shelf; part of The Robot Brains Podcast, published 2021-08-05.",nUtwOUNoZw0,Robotics,2021-08-05,,,false,blocked by YouTube anti-bot verification on this network,YouTube privacy-enhanced embed player metadata,Partial,2026-08-13,2026-08-13,,true,robot-brains-podcast,The Robot Brains Podcast,20210805
